Date,A,B,C
2020Q1,"1,512.45",824.43,703.55
2020Q2,"1,177.15",456.29,487.56
2020Q3,"1,011.77",326.83,354.52
2020Q4,"1,337.71",624.66,625.83
2021Q1,"1,305.55",596.5,562.6
2021Q2,"1,387.57",643.82,665.66
2021Q3,"1,335.02",609.47,635.42
2021Q4,"1,273.24",543.61,460.02
