Date,A,B,C,D,E,F,G,
2022/2/25,"-2,165",5,32,"-2,128","193,848",295,"30,616",
2022/2/24,"-1,868",2,60,"-1,806","195,600",290,"30,584",
2022/2/23,-768,0,26,-742,"197,217",288,"30,524",
2022/2/22,-89,1,-83,-171,"197,848",288,"30,498",
2022/2/21,-313,-15,-29,-357,"197,986",287,"30,581",
2022/2/18,-637,-16,-8,-661,"198,298",302,"30,610",
2022/2/17,"-1,459",2,4,"-1,453","198,731",318,"30,618",
2022/2/16,-688,0,21,-667,"201,089",316,"30,614",
2022/2/15,"-1,008",0,26,-982,"201,783",316,"30,593",
2022/2/14,-332,-22,68,-286,"202,663",316,"30,567",
2022/2/11,"-1,088",-13,64,"-1,037","202,888",338,"30,500",
2022/2/10,"-1,025",-9,44,-990,"203,871",351,"30,436",
2022/2/9,22,95,87,204,"204,877",360,"30,392",
2022/2/8,61,3,-21,43,"204,494",265,"30,305",
2022/2/7,978,0,-83,895,"204,433",262,"30,326",
2022/1/26,30,-3,-26,1,"203,455",262,"30,409",
2022/1/25,-749,47,-38,-740,"203,838",265,"30,435",
2022/1/24,-174,68,-29,-135,"204,564",218,"30,473",
2022/1/21,-663,54,41,-568,"204,795",150,"30,503",
2022/1/20,-389,51,44,-294,"205,415",96,"30,461",
2022/1/19,-607,45,23,-539,"205,770",45,"30,418",
2022/1/18,110,-42,0,68,"206,656",0,"30,395",
2022/1/17,-709,0,57,-652,"206,543",0,"30,395",
2022/1/14,297,-7,65,355,"207,257",0,"30,338",
2022/1/13,-170,-35,-61,-266,"206,959",0,"30,272",
2022/1/12,-366,-41,49,-358,"207,193",0,"30,333",
2022/1/11,881,-31,-21,829,"207,556",0,"30,284",
2022/1/10,60,-1,128,187,"207,964",0,"30,305",
2022/1/7,17,-18,-6,-7,"207,907",0,"30,177",
2022/1/6,-27,-35,12,-50,"207,871",0,"30,183",
2022/1/5,219,-9,-24,186,"207,790",0,"30,171",
2022/1/4,266,0,-2,264,"207,555",0,"30,196",
2022/1/3,644,-28,14,630,"207,282",0,"30,198",
