Date,A,B,C,D,E,F,G,
2022/2/25,14,0,-5,9,"1,154,744",18,"3,553",
2022/2/24,-118,0,-30,-148,"1,154,730",18,"3,558",
2022/2/23,-3,0,0,-3,"1,154,848",18,"3,588",
2022/2/22,-126,0,-40,-166,"1,154,851",18,"3,588",
2022/2/21,-16,-3,-2,-21,"1,154,977",18,"3,628",
2022/2/18,14,0,-4,10,"1,154,993",21,"3,630",
2022/2/17,59,0,0,59,"1,154,979",21,"3,634",
2022/2/16,-15,0,25,10,"1,154,920",21,"3,634",
2022/2/15,-78,0,0,-78,"1,154,935",21,"3,609",
2022/2/14,-16,0,0,-16,"1,155,013",21,"3,609",
2022/2/11,-69,0,0,-69,"1,155,029",21,"3,609",
2022/2/10,-6,0,0,-6,"1,155,098",21,"3,609",
2022/2/9,50,0,-2,48,"1,155,104",21,"3,609",
2022/2/8,-9,0,0,-9,"1,155,055",21,"3,611",
2022/2/7,-60,0,0,-60,"1,155,064",21,"3,611",
2022/1/26,0,0,6,6,"1,155,119",21,"3,611",
2022/1/25,-53,0,-27,-80,"1,155,119",21,"3,605",
2022/1/24,52,0,0,52,"1,155,172",21,"3,632",
2022/1/21,-43,0,-10,-53,"1,155,120",21,"3,632",
2022/1/20,68,0,0,68,"1,155,163",21,"3,642",
2022/1/19,56,0,5,61,"1,155,095",21,"3,642",
2022/1/18,34,0,0,34,"1,155,039",21,"3,637",
2022/1/17,-15,0,-3,-18,"1,155,005",21,"3,637",
2022/1/14,-31,-2,-6,-39,"1,155,020",21,"3,640",
2022/1/13,-35,0,-6,-41,"1,155,051",22,"3,646",
2022/1/12,23,0,1,24,"1,155,086",22,"3,652",
2022/1/11,-18,0,0,-18,"1,155,063",22,"3,651",
2022/1/10,43,0,1,44,"1,155,081",22,"3,651",
2022/1/7,55,0,1,56,"1,155,038",22,"3,650",
2022/1/6,9,0,-1,8,"1,154,983",22,"3,649",
2022/1/5,-17,0,-21,-38,"1,154,974",22,"3,650",
2022/1/4,67,0,3,70,"1,154,991",22,"3,671",
2022/1/3,1,0,0,1,"1,154,924",22,"3,668",
