Date,A,B,C,D,E,F,G,
2022/02,"104,687,976","9,787,570,572",,96,91.3,92.9,"89,469",
2022/01,"142,270,383","13,188,920,004",93,95.8,91.1,92.9,"104,610",
2021/12,"170,001,516","15,340,415,208",94.6,96,86.3,94.7,"157,028",
2021/11,"167,659,919","14,205,777,960",86.5,89.2,78.1,85.9,"112,980",
2021/10,"102,264,094","7,994,944,610",78.9,79.7,76.3,78,"55,624",
2021/09,"121,432,053","9,365,228,837",76.2,79.9,73.8,77.5,"65,540",
2021/08,"179,197,699","13,603,619,498",77.5,78.4,72.5,78.4,"102,330",
2021/07,"269,759,319","23,437,482,822",78.4,92,77.1,77.3,"143,166",
2021/06,"231,387,631","20,163,176,460",87.2,90.7,85,87.5,"128,976",
2021/05,"289,462,186","26,018,438,622",88.1,98,84,89.7,"140,734",
2021/04,"164,477,591","16,050,392,194",97.9,100.5,95,98.4,"91,692",
2021/03,"233,704,401","21,224,669,990",100,102,83.8,98,"125,688",
2021/02,"142,745,632","12,305,065,613",86,89.6,80.9,85,"77,753",
2021/01,"205,243,998","17,163,058,010",82.3,86.9,80.2,80.7,"115,139",
2020/12,"187,201,388","14,886,725,590",80.7,83.4,76,80.9,"93,986",
2020/11,"216,656,028","16,213,991,651",77.8,78.3,70.8,77,"105,398",
2020/10,"142,589,397","10,418,779,266",71.5,75.8,70.8,72,"73,716",
2020/09,"221,569,002","16,879,854,241",74.9,79.5,72.4,75.6,"115,310",
2020/08,"335,440,355","26,256,273,741",78.1,85,73.3,77,"172,512",
2020/07,"283,650,614","22,290,667,421",82.7,82.8,70.9,81.8,"124,069",
2020/06,"215,186,712","15,035,835,464",71.4,72,66.7,71,"105,210",
2020/05,"232,835,206","15,651,983,441",69.5,70.1,63,70,"108,123",
2020/04,"187,084,905","11,766,754,535",63.6,64.9,59.6,64.9,"86,542",
2020/03,"244,386,566","14,246,590,024",61,62.7,50.7,60.2,"111,282",
2020/02,"134,334,138","8,445,634,874",62.3,65,59.7,62,"55,672",
2020/01,"137,510,326","8,705,134,279",61.6,65.2,61.3,62,"57,263",
