Date,A,B,C,D,E,F,G,
2022/2/25,"-10,870","2,256",80,"-8,534","2,920,730","261,417","110,908",
2022/2/24,"-4,861","2,289",133,"-2,439","2,932,109","259,160","110,828",
2022/2/23,"5,164","1,415",38,"6,617","2,936,890","256,871","110,694",
2022/2/22,"-11,991","2,023",-915,"-10,883","2,932,151","255,456","110,656",
2022/2/21,"1,096",970,-388,"1,678","2,946,809","253,433","111,571",
2022/2/18,"-1,360",382,170,-808,"2,945,542","252,463","111,960",
2022/2/17,"4,708",369,74,"5,151","2,948,228","252,081","111,789",
2022/2/16,92,928,223,"1,243","2,943,327","251,712","111,715",
2022/2/15,"-1,279",772,-96,-603,"2,944,361","250,784","111,492",
2022/2/14,-304,"1,226",-247,675,"2,945,781","250,012","111,588",
2022/2/11,"5,670",458,-2,"6,126","2,946,264","248,786","111,835",
2022/2/10,"4,011",489,-395,"4,105","2,940,412","248,328","111,837",
2022/2/9,"3,515","1,081",633,"5,229","2,936,754","247,839","112,232",
2022/2/8,"3,864",979,"1,173","6,016","2,933,158","246,758","111,598",
2022/2/7,"1,803",492,764,"3,059","2,929,651","245,779","110,425",
2022/1/26,276,503,584,"1,363","2,927,573","245,287","109,661",
2022/1/25,"-5,644","1,275",232,"-4,137","2,928,405","244,784","109,077",
2022/1/24,"1,361",721,323,"2,405","2,935,524","243,509","108,845",
2022/1/21,"-1,151","1,244","1,228","1,321","2,934,313","242,788","108,522",
2022/1/20,779,-107,97,769,"2,935,170","241,544","107,293",
2022/1/19,"-1,339",354,76,-909,"2,934,213","241,651","107,196",
2022/1/18,"7,858",-304,216,"7,770","2,935,454","241,297","107,120",
2022/1/17,613,"1,173",108,"1,894","2,927,446","241,601","106,904",
2022/1/14,"-1,974","1,132",170,-672,"2,926,157","240,428","106,796",
2022/1/13,"10,968",917,204,"12,089","2,928,084","239,296","106,626",
2022/1/12,"6,466",766,326,"7,558","2,917,108","238,379","106,422",
2022/1/11,"11,309",173,150,"11,632","2,910,292","237,613","106,096",
2022/1/10,"2,393",734,53,"3,180","2,901,377","237,440","105,946",
2022/1/7,"6,775","1,110",87,"7,972","2,898,634","236,706","105,894",
2022/1/6,"11,807",99,228,"12,134","2,891,947","235,596","105,807",
2022/1/5,"4,847",683,-99,"5,431","2,880,141","235,497","105,579",
2022/1/4,"9,267",162,6,"9,435","2,874,785","234,814","105,677",
2022/1/3,"2,318",-88,99,"2,329","2,865,085","234,652","105,671",
