Date,A,B,C,D,E,F,G,
2022/02,"10,669,313","127,340,785",11.6,12.4,11.45,11.5,"6,820",
2022/01,"53,097,153","650,842,339",11.45,13.3,11.35,11.65,"16,058",
2021/12,"90,116,130","1,146,143,328",13.05,13.5,10.8,13,"25,448",
2021/11,"14,899,745","160,335,414",10.75,11.25,10.3,10.85,"6,195",
2021/10,"7,625,919","76,295,939",10.35,10.6,9.63,10.6,"3,847",
2021/09,"5,643,461","56,648,909",10,10.5,9.81,10.3,"3,166",
2021/08,"11,834,661","126,247,533",10.25,12.1,9.67,10.2,"5,676",
2021/07,"19,444,209","230,614,558",11.9,12.3,11.5,11.85,"8,431",
2021/06,"32,322,169","396,268,234",11.8,13.25,11.65,11.8,"10,331",
2021/05,"100,502,793","1,262,873,877",12.85,14.75,10.85,12.7,"32,560",
2021/04,"182,502,408","2,652,209,974",15.5,16.3,13,14.75,"62,412",
2021/03,"46,370,091","557,852,659",12.05,13.1,10.85,13.1,"15,298",
2021/02,"20,679,411","221,905,403",11,11.35,10.05,11.1,"4,918",
2021/01,"32,704,468","369,370,276",10.6,12.35,10.3,10.3,"9,853",
2020/12,"61,227,283","723,125,174",12.3,12.7,10.8,12.05,"19,731",
2020/11,"52,980,552","603,056,069",12.15,12.4,10.3,12,"17,549",
2020/10,"90,567,933","1,017,726,176",10.9,12.05,9.74,10.55,"23,287",
2020/09,"46,836,551","486,618,503",9.72,11.35,9.52,9.83,"15,003",
2020/08,"30,778,662","298,607,832",10.3,10.45,8.28,10.1,"9,055",
2020/07,"33,502,106","310,373,155",8.49,10,8.19,8.37,"10,370",
2020/06,"9,747,831","85,795,147",8.8,9,8.38,8.88,"3,470",
2020/05,"19,982,717","164,391,352",8.71,8.9,7.65,8.88,"5,560",
2020/04,"21,412,399","167,344,585",8.06,8.28,7.16,8.09,"6,439",
2020/03,"16,945,199","108,194,904",7.13,7.5,5.42,7.24,"5,057",
2020/02,"6,102,538","47,095,552",7.7,7.96,7.31,7.5,"2,510",
2020/01,"6,875,714","56,763,178",7.7,8.68,7.7,7.85,"2,463",
