Date,A,B,C,D,E,F,G,
2022/02,"852,039,655","23,898,632,286",26.9,29.1,26.5,27.15,"287,177",
2022/01,"894,059,789","24,431,891,349",27.25,28.65,25.7,27.6,"280,843",
2021/12,"670,463,686","17,134,057,729",26.1,26.1,24.2,25.95,"216,603",
2021/11,"709,050,637","17,070,015,792",24.25,24.95,22.95,24.4,"172,204",
2021/10,"641,810,574","14,755,587,926",23.3,23.65,22.2,23.2,"152,919",
2021/09,"634,661,773","14,541,533,591",22.65,23.65,22.4,22.9,"168,320",
2021/08,"868,603,524","19,443,518,560",22.95,23.15,21.05,23,"174,120",
2021/07,"642,152,182","14,606,836,120",22.85,23.15,22.35,22.85,"157,492",
2021/06,"538,411,857","12,101,572,436",22.6,23.1,22,22.7,"145,470",
2021/05,"1,343,055,766","30,445,434,177",22.95,24.05,21.1,23.05,"295,954",
2021/04,"677,984,734","15,262,246,765",23.25,23.3,21.5,22.8,"192,035",
2021/03,"1,054,573,658","22,449,518,786",22,22.1,20.05,22.1,"248,140",
2021/02,"639,741,122","12,859,899,277",20.75,20.95,19,20,"136,068",
2021/01,"680,407,161","13,299,387,363",19.15,20,19,19,"169,011",
2020/12,"581,350,598","11,271,033,149",19.75,19.8,19.1,19.7,"158,551",
2020/11,"875,499,595","16,955,730,675",19.75,20,18,19.15,"205,119",
2020/10,"491,150,625","8,898,015,212",17.95,18.6,17.9,18.05,"141,506",
2020/09,"837,127,463","15,416,149,071",18.4,19,17.5,18.4,"290,421",
2020/08,"589,057,591","11,343,182,637",19.05,19.6,18.95,18.95,"196,882",
2020/07,"1,025,914,042","20,758,208,320",19.7,21.25,19.25,19.4,"254,470",
2020/06,"663,832,046","13,561,161,643",20.3,21.1,19.9,20.35,"160,312",
2020/05,"762,872,347","15,071,039,766",19.75,20.15,19.25,19.95,"165,486",
2020/04,"1,034,701,226","19,614,855,699",19.9,20.25,17.4,20,"290,938",
2020/03,"1,829,604,450","34,844,861,962",18.15,22.85,16.05,17.9,"451,905",
2020/02,"647,812,711","14,695,005,898",22.7,23.45,21.5,22.7,"129,978",
2020/01,"491,251,601","10,973,828,368",22,22.9,21.95,22.05,"125,558",
