Date,A,B,C,D,E,F,G,
2022/2/25,"1,636","-9,905",-5,"-8,274","1,005,588","146,997","135,973",
2022/2/24,"-16,179","-7,041",691,"-22,529","1,002,884","156,902","135,978",
2022/2/23,"-5,322","-5,768",221,"-10,869","1,018,520","163,943","135,287",
2022/2/22,"2,715","-5,580",-92,"-2,957","1,023,366","169,711","135,066",
2022/2/21,"2,759","-5,454",-480,"-3,175","1,019,649","175,291","135,158",
2022/2/18,"-7,704","-2,849",187,"-10,366","1,016,323","180,745","135,638",
2022/2/17,67,53,229,349,"1,022,487","183,594","135,452",
2022/2/16,"-6,200",31,-78,"-6,247","1,019,550","183,541","135,223",
2022/2/15,"-8,752","2,596",422,"-5,734","1,024,373","183,510","135,300",
2022/2/14,"-6,029",172,40,"-5,817","1,031,834","180,914","134,878",
2022/2/11,-161,692,-128,403,"1,034,455","180,742","134,839",
2022/2/10,"-16,034",768,-412,"-15,678","1,018,950","180,050","134,967",
2022/2/9,-115,858,71,814,"998,265","179,282","135,379",
2022/2/8,"11,440",763,221,"12,424","996,715","178,424","135,308",
2022/2/7,"3,917",551,334,"4,802","982,951","177,661","135,086",
2022/1/26,"-1,719",948,391,-380,"978,941","177,110","134,752",
2022/1/25,"10,935","1,063",641,"12,639","981,807","176,162","134,361",
2022/1/24,"8,263",139,999,"9,401","970,872","175,099","133,720",
2022/1/21,"3,207",929,"1,049","5,185","961,617","174,960","132,721",
2022/1/20,"14,191",811,-154,"14,848","957,292","174,031","131,672",
2022/1/19,"22,456",280,-332,"22,404","943,086","173,220","131,826",
2022/1/18,"-2,338",19,-349,"-2,668","918,615","172,940","132,159",
2022/1/17,"2,463",21,-288,"2,196","919,412","172,921","132,508",
2022/1/14,"1,570",363,-448,"1,485","916,008","172,900","132,795",
2022/1/13,"-1,716",969,-717,"-1,464","914,234","172,537","133,243",
2022/1/12,"4,081",131,-509,"3,703","915,205","171,568","133,959",
2022/1/11,"5,662",77,135,"5,874","911,546","171,437","134,468",
2022/1/10,"-1,579",132,143,"-1,304","905,606","171,360","134,333",
2022/1/7,-482,82,134,-266,"907,683","171,228","134,190",
2022/1/6,"-2,519",594,-52,"-1,977","908,383","171,146","134,056",
2022/1/5,"-2,462",60,-57,"-2,459","909,560","170,552","134,108",
2022/1/4,447,20,85,552,"912,060","170,493","134,164",
2022/1/3,-426,-27,-23,-476,"911,854","170,473","134,079",
