Date,A,B,C,D,E,F,G,
2022/02,"350,372,947","13,329,186,659",37.55,39.1,37,37.6,"188,826",
2022/01,"345,173,494","12,636,286,963",36.8,37.85,35.2,36.95,"169,512",
2021/12,"326,239,434","11,495,658,729",35.6,36,33.75,35.55,"135,069",
2021/11,"327,542,496","11,115,010,978",33.75,34.75,33.15,34.2,"124,042",
2021/10,"292,354,535","9,543,171,889",33.3,33.5,31.85,33.4,"107,948",
2021/09,"266,874,767","8,614,406,213",32,32.65,31.9,32.05,"114,194",
2021/08,"520,500,957","16,581,682,940",32.4,33.25,30.6,32.8,"187,225",
2021/07,"290,995,437","9,559,043,660",33.1,33.15,32.5,33.1,"115,218",
2021/06,"325,424,545","10,683,358,421",32.55,33.2,32.5,32.85,"120,919",
2021/05,"572,245,021","18,471,402,699",33.1,33.2,30.05,33.1,"181,258",
2021/04,"403,441,784","12,964,565,047",32.55,32.8,31.4,32.65,"130,890",
2021/03,"538,374,176","16,557,514,594",31.8,31.9,29.3,31.9,"193,127",
2021/02,"319,018,708","9,310,188,752",29.65,29.7,28.15,29.2,"114,852",
2021/01,"474,489,606","13,862,315,817",28.55,30.05,28.15,28.15,"178,240",
2020/12,"396,923,849","11,609,295,800",29.9,30,28.6,29.8,"151,553",
2020/11,"399,789,943","11,612,341,630",29.1,29.75,27.55,28.45,"143,327",
2020/10,"275,044,757","7,648,997,448",27.5,28.3,27.4,27.55,"123,280",
2020/09,"623,469,621","17,624,874,272",27.9,29.3,27,27.8,"297,862",
2020/08,"638,480,010","19,542,389,623",29.55,32.6,29.25,29.25,"249,959",
2020/07,"517,499,965","16,608,671,251",32.4,32.8,30.9,32.35,"174,623",
2020/06,"401,804,207","12,608,781,328",31,32.1,30.65,30.9,"149,006",
2020/05,"421,228,978","12,724,323,008",30.35,31,28.7,30.75,"124,388",
2020/04,"543,613,885","15,681,092,023",30.05,30.65,28,30.1,"198,206",
2020/03,"955,919,444","27,941,671,719",28.85,32.95,26.2,28.45,"293,657",
2020/02,"389,084,455","12,612,104,721",32.3,33.8,30.75,32.35,"129,288",
2020/01,"311,978,954","9,805,952,624",31.25,32.4,30.5,31.55,"108,114",
