Date,A,B,C,D,E,F,G,
2022/2/25,-18,0,-2,-20,"15,194",370,103,
2022/2/24,-257,0,0,-257,"15,212",370,105,
2022/2/23,170,0,0,170,"15,469",370,105,
2022/2/22,-267,17,-3,-253,"15,299",370,105,
2022/2/21,64,0,0,64,"15,566",353,108,
2022/2/18,262,0,0,262,"15,502",353,108,
2022/2/17,93,0,0,93,"15,240",353,108,
2022/2/16,318,0,3,321,"15,148",353,108,
2022/2/15,99,0,0,99,"14,830",353,105,
2022/2/14,410,0,0,410,"14,748",353,105,
2022/2/11,170,0,-1,169,"14,338",353,105,
2022/2/10,-65,0,2,-63,"14,168",353,106,
2022/2/9,586,0,7,593,"14,271",353,104,
2022/2/8,574,0,0,574,"13,535",353,97,
2022/2/7,894,0,0,894,"12,961",353,97,
2022/1/26,319,12,0,331,"12,055",353,97,
2022/1/25,-121,6,4,-111,"11,757",341,97,
2022/1/24,159,0,-9,150,"11,906",335,93,
2022/1/21,-196,0,-3,-199,"11,773",335,102,
2022/1/20,160,112,0,272,"12,025",335,105,
2022/1/19,-497,114,1,-382,"11,862",223,105,
2022/1/18,-45,109,0,64,"12,077",109,104,
2022/1/17,188,0,0,188,"12,090",0,104,
2022/1/14,-126,0,-1,-127,"11,902",0,104,
2022/1/13,126,0,0,126,"11,996",0,105,
2022/1/12,-119,0,0,-119,"11,860",0,105,
2022/1/11,-29,0,-1,-30,"11,908",0,105,
2022/1/10,-195,0,2,-193,"11,924",0,106,
2022/1/7,339,0,2,341,"11,991",0,104,
2022/1/6,-732,0,-3,-735,"11,600",0,102,
2022/1/5,845,0,-2,843,"12,162",0,105,
2022/1/4,23,0,0,23,"11,209",0,107,
2022/1/3,-472,0,0,-472,"11,128",0,107,
