Date,A,B,C,D,E,F,G,
2022/02,"27,204,657","10,050,173,865",371,381.5,359.5,371.5,"28,716",
2022/01,"46,946,616","17,520,836,908",358,385,355,359.5,"48,655",
2021/12,"47,376,009","17,406,485,141",374.5,377,355,376,"43,788",
2021/11,"62,602,332","22,595,801,289",354.5,378,351.5,352.5,"60,660",
2021/10,"52,696,462","18,014,302,262",354,359.5,319,353,"49,925",
2021/09,"43,291,343","14,107,040,328",329,341,313.5,325.5,"42,280",
2021/08,"81,558,944","26,024,655,790",317.5,329.5,307,324,"70,395",
2021/07,"84,578,855","30,795,332,733",354,382.5,351,351,"80,658",
2021/06,"78,311,836","29,934,425,854",371.5,404.5,365,371.5,"76,017",
2021/05,"146,675,477","56,675,860,652",392.5,428,335,395,"129,915",
2021/04,"72,754,522","27,404,005,243",372,398,365,376,"65,730",
2021/03,"138,245,142","48,094,840,156",377,386,306,372.5,"106,862",
2021/02,"57,190,265","16,846,439,622",300.5,311,280.5,304,"39,947",
2021/01,"95,417,539","26,723,299,139",289.5,295,250,286.5,"71,615",
2020/12,"57,543,932","14,592,536,159",252.5,265,247,250.5,"44,350",
2020/11,"72,292,307","17,891,042,923",251.5,255,238.5,249,"48,741",
2020/10,"48,797,716","12,004,432,280",243.5,258.5,236,242.5,"34,218",
2020/09,"56,582,541","14,281,997,469",253,260,241,253.5,"37,139",
2020/08,"93,359,997","22,266,508,817",247.5,259.5,212.5,243,"61,447",
2020/07,"60,422,104","13,262,891,207",214,228,213,216.5,"39,350",
2020/06,"83,871,411","19,101,564,429",218,249,209.5,216,"48,408",
2020/05,"45,759,107","9,370,317,432",207.5,213,195,210.5,"31,995",
2020/04,"42,623,860","8,405,867,713",203,203.5,190.5,202.5,"29,555",
2020/03,"73,271,645","13,820,305,622",195.5,207,167,204.5,"50,680",
2020/02,"25,880,179","5,604,786,520",208.5,225.5,206,206,"16,649",
2020/01,"18,095,310","4,191,423,170",226,239,219,224,"12,380",
