Date,A,B,C,D,E,F,G,
2022/02,"2,626,710","42,089,160",16,16.25,15.75,15.85,"1,986",
2022/01,"2,798,886","46,005,030",16.25,16.6,16.25,16.3,"1,492",
2021/12,"4,176,962","68,587,950",16.35,16.65,16.2,16.35,"2,087",
2021/11,"4,392,791","73,406,993",16.7,16.8,16.55,16.55,"1,799",
2021/10,"12,141,198","202,528,349",16.7,17.35,15.7,16.7,"3,762",
2021/09,"4,778,863","77,775,103",16.05,17.15,15.55,16.2,"2,100",
2021/08,"4,341,151","68,437,834",15.7,16.8,15.15,16,"2,305",
2021/07,"8,206,011","134,542,210",16.55,16.95,15.7,16.6,"3,699",
2021/06,"5,566,510","84,844,045",15.7,16.2,14.4,15.75,"2,812",
2021/05,"6,083,766","89,882,878",14.7,15.6,13.85,14.45,"2,880",
2021/04,"3,440,356","52,257,535",15.25,15.55,15,15.2,"1,756",
2021/03,"4,270,114","64,195,036",15.1,15.95,14.6,15.5,"2,099",
2021/02,"3,082,464","45,059,177",15.65,15.7,13.6,14.9,"1,587",
2021/01,"3,627,839","53,931,125",14,16.35,13.7,13.7,"1,830",
2020/12,"2,996,731","46,956,703",15.95,16.45,15.1,16.1,"1,682",
2020/11,"2,900,930","44,399,308",15.5,15.8,14.5,15.5,"1,472",
2020/10,"1,847,802","26,891,852",14.4,14.9,14,14.4,830,
2020/09,"2,644,705","37,683,507",14.45,15.05,13.7,14.3,"1,415",
2020/08,"2,026,170","28,033,769",13.85,14.15,13.6,13.85,"1,263",
2020/07,"5,105,852","76,635,933",14.2,15.95,14,14.25,"2,180",
2020/06,"2,330,674","33,594,384",14.25,14.8,14.05,14.25,"1,207",
2020/05,"2,539,155","36,205,614",14.25,14.75,13.75,14.3,"1,193",
2020/04,"2,944,795","40,991,038",14.45,15.1,12.85,14.65,"2,014",
2020/03,"37,093,871","449,132,575",13.15,15.4,11.6,13.05,"2,461",
2020/02,"2,224,112","34,174,930",15.4,15.9,15.05,15.3,"1,250",
2020/01,"1,725,628","27,432,520",15.25,16.1,15.25,15.4,"1,135",
