Date,A,B,C,D,E,F,G,H,I,J,K,L,M,
2022/2/25,"2,637,329","978,028,366",371,373.5,368.5,371.5,0.5,"2,499",371.25,376.25,374,369,366.25
2022/2/24,"2,908,046","1,082,048,703",373.5,376.5,369.5,371,-6.5,"3,436",372,379,374.5,367.5,365
2022/2/23,"1,899,157","718,519,534",377,381.5,376.5,377.5,0,"2,045",378.25,383.25,380,375,373.25
2022/2/22,"2,457,058","923,157,894",377,378,373,377.5,-1,"2,453",376.5,381.5,380,375,371.5
2022/2/21,"2,016,712","756,981,110",370,378.5,370,378.5,6.5,"2,361",376.375,384.875,382.75,374.25,367.875
2022/2/18,"877,277","325,845,944",369,372.5,367.5,372,0.5,"1,080",371,376,374.5,369.5,366
2022/2/17,"2,008,907","745,644,784",370.5,373.5,369,371.5,2.5,"1,994",371.375,375.875,373.75,369.25,366.875
2022/2/16,"1,217,548","447,420,080",366,369,365,369,6.5,"1,337",368,372,371,367,364
2022/2/15,"1,119,255","406,897,923",363,365.5,362,362.5,-0.5,"1,359",363.125,366.625,364.25,360.75,359.625
2022/2/14,"1,383,564","502,389,736",365,365.5,361.5,363,-4.5,"1,496",363.25,367.25,365,361,359.25
2022/2/11,"1,309,229","481,203,251",366.5,368.5,366,367.5,-2.5,"1,287",367.375,369.875,368.75,366.25,364.875
2022/2/10,"1,306,176","480,568,839",366,370,366,370,4,"1,302",369,373,372,368,365
2022/2/9,"2,502,113","910,356,888",363,366,362,366,2.5,"2,210",365,369,368,364,361
2022/2/8,"1,230,210","447,266,932",362.5,364.5,362,363.5,-0.5,"1,336",363.375,365.875,364.75,362.25,360.875
2022/2/7,"2,332,076","843,843,881",361,364.5,359.5,364,4.5,"2,521",363,368,366.5,361.5,358
2022/1/26,"2,099,594","755,569,451",358,362,358,359.5,-0.5,"3,471",359.75,363.75,361.5,357.5,355.75
2022/1/25,"5,480,482","1,965,190,982",361,362.5,355,360,-4.5,"6,021",359.375,366.875,363.75,356.25,351.875
2022/1/24,"6,280,013","2,304,384,317",373.5,373.5,364,364.5,-12.5,"7,337",366.625,376.125,369.25,359.75,357.125
2022/1/21,"2,566,698","964,688,297",377.5,377.5,374,377,-1.5,"2,497",376.375,379.875,378.75,375.25,372.875
2022/1/20,"1,680,377","635,874,729",378,379.5,377,378.5,0.5,"1,139",378.375,380.875,379.75,377.25,375.875
2022/1/19,"1,322,336","501,228,607",378,381,377.5,378,-2,"1,431",378.625,382.125,379.75,376.25,375.125
2022/1/18,"1,971,553","749,284,326",377.5,381,376.5,380,2,"2,109",379.375,383.875,382.25,377.75,374.875
