Date,A,B,C,D,E,F,G,
2022/2/25,-62,0,-2,-64,"11,658",0,479,
2022/2/24,-62,0,-12,-74,"11,720",0,481,
2022/2/23,2,0,0,2,"11,782",0,493,
2022/2/22,-59,0,-9,-68,"11,780",0,493,
2022/2/21,-22,0,0,-22,"11,839",0,502,
2022/2/18,14,0,0,14,"11,861",0,502,
2022/2/17,109,0,0,109,"11,847",0,502,
2022/2/16,-2,0,1,-1,"11,738",0,502,
2022/2/15,-8,0,0,-8,"11,740",0,501,
2022/2/14,-89,0,0,-89,"11,748",0,501,
2022/2/11,-34,0,0,-34,"11,837",0,501,
2022/2/10,-38,0,0,-38,"11,871",0,501,
2022/2/9,-24,0,0,-24,"11,909",0,501,
2022/2/8,-34,0,0,-34,"11,933",0,501,
2022/2/7,11,0,2,13,"11,967",0,501,
2022/1/26,-7,0,2,-5,"11,956",0,499,
2022/1/25,-46,0,-18,-64,"11,963",0,497,
2022/1/24,30,0,0,30,"12,009",0,515,
2022/1/21,-19,0,-8,-27,"11,979",0,515,
2022/1/20,2,0,-2,0,"12,028",0,523,
2022/1/19,50,0,0,50,"12,026",0,525,
2022/1/18,14,0,0,14,"11,976",0,525,
2022/1/17,-105,0,0,-105,"11,962",0,525,
2022/1/14,-46,0,-2,-48,"12,067",0,525,
2022/1/13,-1,0,0,-1,"12,113",0,527,
2022/1/12,19,0,0,19,"12,114",0,527,
2022/1/11,63,0,0,63,"12,095",0,527,
2022/1/10,6,0,0,6,"12,032",0,527,
2022/1/7,-15,0,0,-15,"12,026",0,527,
2022/1/6,9,0,0,9,"12,041",0,527,
2022/1/5,9,0,0,9,"12,032",0,527,
2022/1/4,-4,0,0,-4,"12,023",0,527,
2022/1/3,-3,0,0,-3,"12,027",0,527,
