Date,A,B,C,D,E,F,G,
2022/02,"636,451,877","19,063,385,832",29.3,32.3,29.05,29.4,"177,331",
2022/01,"349,556,220","10,654,337,305",31.55,31.6,28.9,31.35,"157,686",
2021/12,"164,293,862","4,777,663,025",29.25,29.55,28.7,29.15,"70,737",
2021/11,"208,641,417","6,066,372,169",29.4,30.05,28.25,28.6,"88,578",
2021/10,"188,421,525","5,366,846,671",29.4,29.45,27,29.2,"79,687",
2021/09,"157,457,823","4,326,207,354",27.25,27.95,26.9,27.5,"75,798",
2021/08,"267,647,870","7,285,204,383",27.6,27.9,26.55,27.4,"125,318",
2021/07,"463,953,642","14,072,075,341",28,33.15,27.75,27.75,"183,402",
2021/06,"237,713,225","7,299,924,998",30.9,31.7,29.9,31,"105,825",
2021/05,"425,508,359","12,765,767,775",30.55,32.35,27.8,30.75,"172,708",
2021/04,"318,572,559","10,527,054,297",32.7,33.9,32.1,32.7,"132,685",
2021/03,"495,048,482","16,404,105,335",33.85,34.8,31,33.5,"182,431",
2021/02,"195,840,062","6,130,429,280",31.65,32.3,30.65,32,"74,747",
2021/01,"394,690,692","12,344,431,771",32.7,33.2,29.8,31.25,"172,239",
2020/12,"395,570,153","12,188,595,747",31.15,32.4,29,31,"168,510",
2020/11,"279,280,064","8,356,317,684",31.45,31.45,28.2,29.85,"113,413",
2020/10,"215,622,236","6,263,721,306",28.7,30.25,28.4,28.5,"85,439",
2020/09,"314,295,376","9,473,485,573",29.85,32.6,28.8,29.8,"133,876",
2020/08,"440,235,323","14,815,130,452",32.8,35.7,30.2,31.9,"208,771",
2020/07,"749,944,080","26,078,955,151",34.7,38.85,32.2,34.5,"326,404",
2020/06,"490,480,930","16,182,125,096",36,36.35,28.35,35.8,"203,201",
2020/05,"279,640,656","7,835,704,142",28.5,28.9,27.15,28.6,"103,702",
2020/04,"283,808,057","7,419,262,925",27.8,28.35,24.1,28.25,"112,389",
2020/03,"420,453,462","9,712,863,074",24.05,27.5,18.55,24.5,"154,388",
2020/02,"157,758,769","4,366,339,991",27,28.5,26.55,27.05,"59,714",
2020/01,"168,465,974","4,766,922,321",27.1,29.5,27,27.25,"69,116",
