Sort,Date,A,B,C,
1,2021Q4,94.97,9.1,13.49,
2,2021Q3,104.29,34,25.25,
3,2021Q2,20.02,-46.93,-38.67,
4,2021Q1,122.83,54.84,50.52,
5,2020Q4,129.34,35.53,34.26,
6,2020Q3,172.99,87.66,74.51,
7,2020Q2,109.47,28.19,21.22,
8,2020Q1,103.78,10.42,16.91,
