Date,A,B,C,D,E,F,G,
2022/2/25,"-9,188","2,387",55,"-6,746","8,008,459","270,368","25,136",
2022/2/24,"-39,601","2,586",-174,"-37,189","8,018,966","267,981","25,080",
2022/2/23,"7,938","1,857",-317,"9,478","8,058,578","265,395","25,254",
2022/2/22,"-10,720",-589,"-1,563","-12,872","8,051,554","263,538","25,571",
2022/2/21,"7,857","1,286",183,"9,326","8,062,306","264,127","27,134",
2022/2/18,"-2,790",628,341,"-1,821","8,054,449","262,842","26,951",
2022/2/17,"6,346","2,025",658,"9,029","8,057,403","262,214","26,610",
2022/2/16,"-3,315","2,334",734,-247,"8,051,047","260,189","25,951",
2022/2/15,"-14,023","1,566","-1,079","-13,536","8,055,412","257,855","25,217",
2022/2/14,"8,358","1,485",-473,"9,370","8,068,763","256,289","26,296",
2022/2/11,"14,809","-1,652","-2,609","10,548","8,061,319","254,804","26,768",
2022/2/10,"17,618",392,-154,"17,856","8,047,039","256,456","29,378",
2022/2/9,"11,566","1,504",957,"14,027","8,029,357","256,064","29,532",
2022/2/8,"-3,259","4,869","2,091","3,701","8,018,261","254,560","28,575",
2022/2/7,"24,647",585,"3,323","28,555","8,023,172","249,691","26,484",
2022/1/26,"8,539",886,53,"9,478","8,000,326","249,106","23,161",
2022/1/25,"-11,712","2,004",-923,"-10,631","7,993,092","248,220","23,108",
2022/1/24,"1,941","1,775","-1,921","1,795","8,004,970","246,216","24,031",
2022/1/21,"-3,035","1,935",-968,"-2,068","8,003,563","244,441","25,952",
2022/1/20,"4,065",-856,-596,"2,613","8,006,598","242,506","26,920",
2022/1/19,"15,117",274,-853,"14,538","8,002,236","243,362","27,517",
2022/1/18,"11,503",-95,"1,024","12,432","7,991,694","243,088","28,370",
2022/1/17,"3,560","1,944",-155,"5,349","7,979,558","243,183","27,346",
2022/1/14,"-3,243","2,174",-615,"-1,684","7,976,287","241,239","27,500",
2022/1/13,"19,930","4,223","3,995","28,148","7,978,756","239,065","28,115",
2022/1/12,"20,380","1,574",421,"22,375","7,951,812","234,842","24,120",
2022/1/11,"16,121","1,269","3,034","20,424","7,930,312","233,268","23,700",
2022/1/10,"6,015",919,394,"7,328","7,916,352","231,999","20,665",
2022/1/7,"12,465",552,668,"13,685","7,909,665","231,080","20,271",
2022/1/6,"10,761",332,65,"11,158","7,897,199","230,528","19,603",
2022/1/5,"7,824","1,336",-142,"9,018","7,886,427","230,196","19,538",
2022/1/4,"1,945",277,38,"2,260","7,877,753","228,860","19,680",
2022/1/3,-104,"-2,499",7,"-2,596","7,875,183","228,583","19,642",
