Date,A,B,C,D,E,F,G,
2022/2/25,-399,308,26,-65,"374,013","31,360","30,245",
2022/2/24,-641,274,-20,-387,"374,289","31,052","30,219",
2022/2/23,-320,162,-2,-160,"374,924","30,778","30,239",
2022/2/22,-187,292,-32,73,"375,280","30,616","30,241",
2022/2/21,157,148,-29,276,"375,472","30,324","30,273",
2022/2/18,158,68,13,239,"375,306","30,176","30,302",
2022/2/17,262,59,36,357,"375,157","30,108","30,289",
2022/2/16,269,110,1,380,"375,042","30,049","30,253",
2022/2/15,-456,108,25,-323,"374,768","29,939","30,252",
2022/2/14,-511,152,-2,-361,"375,332","29,831","30,227",
2022/2/11,-348,60,33,-255,"375,879","29,679","30,229",
2022/2/10,240,66,15,321,"376,241","29,619","30,196",
2022/2/9,-633,64,64,-505,"376,125","29,553","30,181",
2022/2/8,-523,78,18,-427,"376,918","29,489","30,118",
2022/2/7,-444,68,96,-280,"377,510","29,411","30,100",
2022/1/26,-645,77,18,-550,"378,502","29,343","30,003",
2022/1/25,"-1,674",203,70,"-1,401","379,450","29,266","29,985",
2022/1/24,"-2,752",19,105,"-2,628","380,898","29,063","29,915",
2022/1/21,123,231,76,430,"383,616","29,044","29,809",
2022/1/20,0,36,-43,-7,"383,441","28,813","29,734",
2022/1/19,307,19,20,346,"383,427","28,777","29,776",
2022/1/18,701,-16,30,715,"383,105","28,758","29,757",
2022/1/17,-23,112,-21,68,"382,290","28,774","29,727",
2022/1/14,-20,206,-23,163,"382,157","28,662","29,748",
2022/1/13,518,114,-37,595,"382,156","28,455","29,771",
2022/1/12,-62,106,-10,34,"381,641","28,341","29,808",
2022/1/11,-319,60,-26,-285,"381,704","28,235","29,818",
2022/1/10,45,112,14,171,"381,703","28,175","29,844",
2022/1/7,-494,140,-49,-403,"381,629","28,063","29,830",
2022/1/6,-119,113,14,8,"382,122","27,923","29,879",
2022/1/5,687,36,67,790,"382,242","27,810","29,865",
2022/1/4,857,17,-93,781,"381,532","27,775","29,798",
2022/1/3,-805,92,32,-681,"380,213","27,758","29,891",
