Date,A,B,C
2020Q1,"12,263.14","2,942.87","1,096.28"
2020Q2,"15,904.90","5,079.55","5,909.25"
2020Q3,"23,101.78","9,366.81","11,046.50"
2020Q4,"21,955.90","7,567.82","10,334.85"
2021Q1,"25,766.17","11,508.76","10,218.37"
2021Q2,"27,717.28","13,451.40","11,803.33"
2021Q3,"26,488.51","11,458.54","11,914.05"
2021Q4,"30,343.97","12,906.90","12,669.66"
