Date,A,B,C,D,E,F,G,
2022/02,"3,510,073","71,953,288",20.6,20.75,20.3,20.5,"3,330",
2022/01,"4,286,698","87,209,693",20.2,20.65,20.1,20.35,"2,355",
2021/12,"3,179,477","64,160,861",20.1,20.5,20,20.2,"1,807",
2021/11,"4,111,866","82,683,479",19.65,20.4,19.8,19.75,"2,146",
2021/10,"2,261,744","44,778,207",19.7,20,19.65,19.7,"1,480",
2021/09,"3,089,900","61,242,844",19.85,20.25,19.6,19.85,"1,977",
2021/08,"8,896,412","175,532,103",19.7,20.1,19.55,19.7,"3,156",
2021/07,"10,434,041","207,989,100",19.4,20.4,19.55,19.55,"5,174",
2021/06,"17,587,685","370,396,213",19.6,21.9,19.9,19.7,"8,260",
2021/05,"22,307,928","476,282,864",19,24.15,19.5,19.05,"9,721",
2021/04,"13,488,892","315,465,248",20.25,24.2,22.3,20.15,"6,721",
2021/03,"9,072,608","195,379,427",20.7,22.45,20.5,20.75,"5,397",
2021/02,"4,940,966","100,666,141",20.9,20.9,19.8,20.9,"3,083",
2021/01,"8,341,875","171,238,208",20.1,21.5,19.95,20,"4,978",
2020/12,"3,530,739","71,569,351",20.15,20.6,20.05,20.1,"2,046",
2020/11,"2,851,185","57,138,352",19.75,20.25,19.7,19.8,"1,559",
2020/10,"1,234,927","24,360,311",19.85,19.9,19.55,19.75,741,
2020/09,"2,985,357","58,689,781",19.95,19.8,19.45,19.6,"1,462",
2020/08,"2,528,086","49,867,796",20.25,19.95,19.5,20.25,"1,260",
2020/07,"3,277,414","64,783,032",21.5,20.2,19.55,21.6,"1,570",
2020/06,"5,338,368","107,236,714",21,20.7,19.15,21.4,"2,552",
2020/05,"3,261,766","64,542,693",23.05,20.2,19.3,23.5,"1,632",
2020/04,"4,021,454","76,454,882",21.45,19.8,18.05,21.85,"2,297",
2020/03,"9,650,830","181,252,521",19.9,20.75,16.2,20,"5,250",
2020/02,"3,985,665","82,386,898",20.5,20.85,20.4,20.55,"2,255",
2020/01,"2,545,775","52,956,303",20.35,21,20.5,20.25,"1,319",
